Date,Open,High,Low,Close,Adj Close,Volume
4/2/2014,19.370714,19.41,19.295,19.376785,17.365013,180420800
4/3/2014,19.335358,19.375,19.201429,19.2425,17.244669,162344000
4/4/2014,19.278929,19.285713,18.949286,18.99357,17.021584,275251200
4/7/2014,18.857857,18.960714,18.638929,18.695356,16.754332,289850400
4/8/2014,18.756786,18.790001,18.525,18.694286,16.753365,243888400
4/9/2014,18.665714,18.946072,18.643572,18.940001,16.973572,206169600
4/10/2014,18.952856,19.008572,18.684643,18.695715,16.754648,239652000
4/11/2014,18.535713,18.672501,18.469286,18.557501,16.630781,271717600
4/14/2014,18.639286,18.648571,18.471786,18.63143,16.697042,205674000
4/15/2014,18.581072,18.629999,18.261786,18.498571,16.577976,266490000
4/16/2014,18.501785,18.610357,18.362143,18.536072,16.611582,214765600
4/17/2014,18.571428,18.848572,18.542856,18.747856,16.801378,284334400
4/21/2014,18.762142,19.004999,18.712856,18.970358,17.000776,182548800
4/22/2014,18.868214,18.993929,18.803572,18.989286,17.01774,202563200
4/23/2014,18.895,18.968929,18.730356,18.741072,16.7953,394940000
4/24/2014,20.293215,20.357143,20.026072,20.2775,18.172207,759911600
4/25/2014,20.161785,20.428213,20.14143,20.42643,18.305676,390275200
4/28/2014,20.457144,21.276787,20.448214,21.217501,19.014612,669485600
4/29/2014,21.205,21.285,21.053928,21.154642,18.958288,337377600
4/30/2014,21.165714,21.408215,21.064285,21.074642,18.886589,456640800
5/1/2014,21.142857,21.242857,20.941429,21.124287,18.93108,244048000
5/2/2014,21.155001,21.22143,21.061071,21.16357,18.966282,191514400
5/5/2014,21.076429,21.464287,21.071428,21.462856,19.234495,287067200
5/6/2014,21.492857,21.586071,21.22893,21.22893,19.024857,374564400
5/7/2014,21.258928,21.331785,20.990356,21.154642,18.958288,282864400
5/8/2014,21.008928,21.22893,20.942858,20.999643,18.924492,230297200
5/9/2014,20.876429,20.9375,20.72607,20.912144,18.845636,291597600
5/12/2014,20.981787,21.202143,20.978571,21.172501,19.080269,213208800
5/13/2014,21.142857,21.23357,21.09643,21.205713,19.110191,159737200
5/14/2014,21.158215,21.335714,21.133572,21.209642,19.113733,166404000
5/15/2014,21.239286,21.307142,21.001429,21.029285,18.951204,230846000
5/16/2014,21.022499,21.340357,20.907143,21.339643,19.23089,276256400
5/19/2014,21.351786,21.690357,21.333214,21.592501,19.458761,317755200
5/20/2014,21.589643,21.657143,21.454643,21.596786,19.46262,234836000
5/21/2014,21.565357,21.667856,21.502144,21.653929,19.514126,196859600
5/22/2014,21.664286,21.780357,21.575001,21.688213,19.545015,200760000
5/23/2014,21.6875,21.954643,21.659643,21.933214,19.765806,232209600
5/27/2014,21.995714,22.352142,21.986786,22.343929,20.135935,348866000
5/28/2014,22.357857,22.493929,22.277857,22.286072,20.083799,315481600
5/29/2014,22.423214,22.745358,22.420357,22.692142,20.449736,376474000
5/30/2014,22.785,23.006071,22.460714,22.607143,20.373138,564020800
